arm=clinical  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 11.39 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep1 step 0/348 loss 0.6766
  ep1 step 20/348 loss 0.6856
  ep1 step 40/348 loss 0.6736
  ep1 step 60/348 loss 0.6605
  ep1 step 80/348 loss 0.6447
  ep1 step 100/348 loss 0.6345
  ep1 step 120/348 loss 0.6271
  ep1 step 140/348 loss 0.6181
  ep1 step 160/348 loss 0.6120
  ep1 step 180/348 loss 0.6067
  ep1 step 200/348 loss 0.6055
  ep1 step 220/348 loss 0.6026
  ep1 step 240/348 loss 0.6019
  ep1 step 260/348 loss 0.6025
  ep1 step 280/348 loss 0.6016
  ep1 step 300/348 loss 0.6005
  ep1 step 320/348 loss 0.5980
  ep1 step 340/348 loss 0.5970
[grader] epoch 1/30 loss 0.5968 AUC(ref) 0.7234 QWK 0.0000 acc 0.0645 sens(g>=3) 0.0000
  ep2 step 0/348 loss 0.5608
  ep2 step 20/348 loss 0.5595
  ep2 step 40/348 loss 0.5399
  ep2 step 60/348 loss 0.5475
  ep2 step 80/348 loss 0.5404
  ep2 step 100/348 loss 0.5362
  ep2 step 120/348 loss 0.5265
  ep2 step 140/348 loss 0.5226
  ep2 step 160/348 loss 0.5195
  ep2 step 180/348 loss 0.5162
  ep2 step 200/348 loss 0.5144
  ep2 step 220/348 loss 0.5148
  ep2 step 240/348 loss 0.5113
  ep2 step 260/348 loss 0.5101
  ep2 step 280/348 loss 0.5089
  ep2 step 300/348 loss 0.5063
  ep2 step 320/348 loss 0.5045
  ep2 step 340/348 loss 0.5018
[grader] epoch 2/30 loss 0.5011 AUC(ref) 0.7834 QWK 0.0370 acc 0.0677 sens(g>=3) 0.0000
  ep3 step 0/348 loss 0.4091
  ep3 step 20/348 loss 0.4647
  ep3 step 40/348 loss 0.4930
  ep3 step 60/348 loss 0.4766
  ep3 step 80/348 loss 0.4764
  ep3 step 100/348 loss 0.4792
  ep3 step 120/348 loss 0.4745
  ep3 step 140/348 loss 0.4717
  ep3 step 160/348 loss 0.4675
  ep3 step 180/348 loss 0.4690
  ep3 step 200/348 loss 0.4705
  ep3 step 220/348 loss 0.4706
  ep3 step 240/348 loss 0.4678
  ep3 step 260/348 loss 0.4698
  ep3 step 280/348 loss 0.4695
  ep3 step 300/348 loss 0.4705
  ep3 step 320/348 loss 0.4714
  ep3 step 340/348 loss 0.4706
[grader] epoch 3/30 loss 0.4700 AUC(ref) 0.7834 QWK 0.3102 acc 0.1814 sens(g>=3) 0.1162
  ep4 step 0/348 loss 0.6388
  ep4 step 20/348 loss 0.5289
  ep4 step 40/348 loss 0.5144
  ep4 step 60/348 loss 0.4957
  ep4 step 80/348 loss 0.4818
  ep4 step 100/348 loss 0.4776
  ep4 step 120/348 loss 0.4753
  ep4 step 140/348 loss 0.4794
  ep4 step 160/348 loss 0.4786
  ep4 step 180/348 loss 0.4758
  ep4 step 200/348 loss 0.4712
  ep4 step 220/348 loss 0.4734
  ep4 step 240/348 loss 0.4711
  ep4 step 260/348 loss 0.4689
  ep4 step 280/348 loss 0.4695
  ep4 step 300/348 loss 0.4702
  ep4 step 320/348 loss 0.4700
  ep4 step 340/348 loss 0.4712
[grader] epoch 4/30 loss 0.4706 AUC(ref) 0.7844 QWK 0.3885 acc 0.2195 sens(g>=3) 0.3734
  ep5 step 0/348 loss 0.4086
  ep5 step 20/348 loss 0.4347
  ep5 step 40/348 loss 0.4430
  ep5 step 60/348 loss 0.4487
  ep5 step 80/348 loss 0.4452
  ep5 step 100/348 loss 0.4464
  ep5 step 120/348 loss 0.4498
  ep5 step 140/348 loss 0.4548
  ep5 step 160/348 loss 0.4557
  ep5 step 180/348 loss 0.4605
  ep5 step 200/348 loss 0.4576
  ep5 step 220/348 loss 0.4588
  ep5 step 240/348 loss 0.4581
  ep5 step 260/348 loss 0.4580
  ep5 step 280/348 loss 0.4593
  ep5 step 300/348 loss 0.4569
  ep5 step 320/348 loss 0.4564
  ep5 step 340/348 loss 0.4578
[grader] epoch 5/30 loss 0.4576 AUC(ref) 0.7855 QWK 0.4137 acc 0.2275 sens(g>=3) 0.5519
  ep6 step 0/348 loss 0.4749
  ep6 step 20/348 loss 0.4414
  ep6 step 40/348 loss 0.4382
  ep6 step 60/348 loss 0.4339
  ep6 step 80/348 loss 0.4451
  ep6 step 100/348 loss 0.4432
  ep6 step 120/348 loss 0.4466
  ep6 step 140/348 loss 0.4529
  ep6 step 160/348 loss 0.4538
  ep6 step 180/348 loss 0.4566
  ep6 step 200/348 loss 0.4562
  ep6 step 220/348 loss 0.4555
  ep6 step 240/348 loss 0.4554
  ep6 step 260/348 loss 0.4566
  ep6 step 280/348 loss 0.4543
  ep6 step 300/348 loss 0.4543
  ep6 step 320/348 loss 0.4531
  ep6 step 340/348 loss 0.4538
[grader] epoch 6/30 loss 0.4542 AUC(ref) 0.7865 QWK 0.4376 acc 0.2403 sens(g>=3) 0.6224
  ep7 step 0/348 loss 0.3632
  ep7 step 20/348 loss 0.4431
  ep7 step 40/348 loss 0.4509
  ep7 step 60/348 loss 0.4559
  ep7 step 80/348 loss 0.4442
  ep7 step 100/348 loss 0.4466
  ep7 step 120/348 loss 0.4484
  ep7 step 140/348 loss 0.4483
  ep7 step 160/348 loss 0.4468
  ep7 step 180/348 loss 0.4471
  ep7 step 200/348 loss 0.4464
  ep7 step 220/348 loss 0.4462
  ep7 step 240/348 loss 0.4484
  ep7 step 260/348 loss 0.4489
  ep7 step 280/348 loss 0.4493
  ep7 step 300/348 loss 0.4496
