arm=cnn  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.34 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep1 step 0/348 loss 0.6856
  ep1 step 20/348 loss 0.6850
  ep1 step 40/348 loss 0.6759
  ep1 step 60/348 loss 0.6650
  ep1 step 80/348 loss 0.6516
  ep1 step 100/348 loss 0.6368
  ep1 step 120/348 loss 0.6239
  ep1 step 140/348 loss 0.6067
  ep1 step 160/348 loss 0.5911
  ep1 step 180/348 loss 0.5795
  ep1 step 200/348 loss 0.5653
  ep1 step 220/348 loss 0.5540
  ep1 step 240/348 loss 0.5413
  ep1 step 260/348 loss 0.5330
  ep1 step 280/348 loss 0.5264
  ep1 step 300/348 loss 0.5178
  ep1 step 320/348 loss 0.5127
  ep1 step 340/348 loss 0.5072
[grader] epoch 1/30 loss 0.5044 AUC(ref) 0.7066 QWK 0.2072 acc 0.4830 sens(g>=3) 0.0000
  ep2 step 0/348 loss 0.4306
  ep2 step 20/348 loss 0.4171
  ep2 step 40/348 loss 0.4028
  ep2 step 60/348 loss 0.3996
  ep2 step 80/348 loss 0.3918
  ep2 step 100/348 loss 0.3960
  ep2 step 120/348 loss 0.3898
  ep2 step 140/348 loss 0.3861
  ep2 step 160/348 loss 0.3817
  ep2 step 180/348 loss 0.3788
  ep2 step 200/348 loss 0.3822
  ep2 step 220/348 loss 0.3796
  ep2 step 240/348 loss 0.3761
  ep2 step 260/348 loss 0.3752
  ep2 step 280/348 loss 0.3738
  ep2 step 300/348 loss 0.3733
  ep2 step 320/348 loss 0.3732
  ep2 step 340/348 loss 0.3687
[grader] epoch 2/30 loss 0.3674 AUC(ref) 0.8393 QWK 0.2018 acc 0.4974 sens(g>=3) 0.0000
  ep3 step 0/348 loss 0.7599
  ep3 step 20/348 loss 0.3504
  ep3 step 40/348 loss 0.3328
  ep3 step 60/348 loss 0.3338
  ep3 step 80/348 loss 0.3301
  ep3 step 100/348 loss 0.3285
  ep3 step 120/348 loss 0.3295
  ep3 step 140/348 loss 0.3276
  ep3 step 160/348 loss 0.3270
  ep3 step 180/348 loss 0.3245
  ep3 step 200/348 loss 0.3231
  ep3 step 220/348 loss 0.3235
  ep3 step 240/348 loss 0.3210
