Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
arm=fusion  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.42 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep1 step 0/348 loss 0.7163
  ep1 step 20/348 loss 0.6880
  ep1 step 40/348 loss 0.6800
  ep1 step 60/348 loss 0.6671
  ep1 step 80/348 loss 0.6476
  ep1 step 100/348 loss 0.6324
  ep1 step 120/348 loss 0.6124
  ep1 step 140/348 loss 0.5950
  ep1 step 160/348 loss 0.5787
  ep1 step 180/348 loss 0.5679
  ep1 step 200/348 loss 0.5582
  ep1 step 220/348 loss 0.5456
  ep1 step 240/348 loss 0.5373
  ep1 step 260/348 loss 0.5295
  ep1 step 280/348 loss 0.5211
  ep1 step 300/348 loss 0.5139
  ep1 step 320/348 loss 0.5082
  ep1 step 340/348 loss 0.5010
[grader] epoch 1/30 loss 0.4993 AUC(ref) 0.6532 QWK -0.0037 acc 0.1826 sens(g>=3) 0.0000
  ep2 step 0/348 loss 1.0129
  ep2 step 20/348 loss 0.4172
  ep2 step 40/348 loss 0.4053
  ep2 step 60/348 loss 0.4050
  ep2 step 80/348 loss 0.3935
  ep2 step 100/348 loss 0.3945
  ep2 step 120/348 loss 0.3889
  ep2 step 140/348 loss 0.3854
  ep2 step 160/348 loss 0.3835
  ep2 step 180/348 loss 0.3812
  ep2 step 200/348 loss 0.3778
  ep2 step 220/348 loss 0.3754
  ep2 step 240/348 loss 0.3717
  ep2 step 260/348 loss 0.3682
  ep2 step 280/348 loss 0.3643
  ep2 step 300/348 loss 0.3614
  ep2 step 320/348 loss 0.3595
  ep2 step 340/348 loss 0.3576
[grader] epoch 2/30 loss 0.3569 AUC(ref) 0.8593 QWK 0.2670 acc 0.4794 sens(g>=3) 0.0000
  ep3 step 0/348 loss 0.2279
  ep3 step 20/348 loss 0.3498
  ep3 step 40/348 loss 0.3391
  ep3 step 60/348 loss 0.3308
  ep3 step 80/348 loss 0.3211
  ep3 step 100/348 loss 0.3177
  ep3 step 120/348 loss 0.3150
  ep3 step 140/348 loss 0.3124
  ep3 step 160/348 loss 0.3107
  ep3 step 180/348 loss 0.3118
  ep3 step 200/348 loss 0.3143
  ep3 step 220/348 loss 0.3134
  ep3 step 240/348 loss 0.3104
  ep3 step 260/348 loss 0.3108
  ep3 step 280/348 loss 0.3085
  ep3 step 300/348 loss 0.3095
  ep3 step 320/348 loss 0.3071
  ep3 step 340/348 loss 0.3070
[grader] epoch 3/30 loss 0.3067 AUC(ref) 0.8973 QWK 0.3769 acc 0.5202 sens(g>=3) 0.0041
  ep4 step 0/348 loss 0.3395
  ep4 step 20/348 loss 0.3583
  ep4 step 40/348 loss 0.3386
  ep4 step 60/348 loss 0.3284
  ep4 step 80/348 loss 0.3158
  ep4 step 100/348 loss 0.3059
  ep4 step 120/348 loss 0.3068
  ep4 step 140/348 loss 0.3025
  ep4 step 160/348 loss 0.2968
  ep4 step 180/348 loss 0.2958
  ep4 step 200/348 loss 0.2913
  ep4 step 220/348 loss 0.2880
  ep4 step 240/348 loss 0.2882
  ep4 step 260/348 loss 0.2861
  ep4 step 280/348 loss 0.2842
  ep4 step 300/348 loss 0.2836
  ep4 step 320/348 loss 0.2812
  ep4 step 340/348 loss 0.2799
[grader] epoch 4/30 loss 0.2793 AUC(ref) 0.9225 QWK 0.5411 acc 0.5671 sens(g>=3) 0.1328
  ep5 step 0/348 loss 0.3133
  ep5 step 20/348 loss 0.2333
  ep5 step 40/348 loss 0.2280
  ep5 step 60/348 loss 0.2263
  ep5 step 80/348 loss 0.2345
  ep5 step 100/348 loss 0.2351
  ep5 step 120/348 loss 0.2338
  ep5 step 140/348 loss 0.2349
  ep5 step 160/348 loss 0.2325
  ep5 step 180/348 loss 0.2287
  ep5 step 200/348 loss 0.2314
  ep5 step 220/348 loss 0.2320
  ep5 step 240/348 loss 0.2352
  ep5 step 260/348 loss 0.2363
  ep5 step 280/348 loss 0.2338
  ep5 step 300/348 loss 0.2333
  ep5 step 320/348 loss 0.2328
  ep5 step 340/348 loss 0.2331
[grader] epoch 5/30 loss 0.2328 AUC(ref) 0.9355 QWK 0.6751 acc 0.5999 sens(g>=3) 0.3237
  ep6 step 0/348 loss 0.2497
  ep6 step 20/348 loss 0.2367
  ep6 step 40/348 loss 0.2482
  ep6 step 60/348 loss 0.2399
  ep6 step 80/348 loss 0.2310
  ep6 step 100/348 loss 0.2250
  ep6 step 120/348 loss 0.2275
  ep6 step 140/348 loss 0.2235
  ep6 step 160/348 loss 0.2205
  ep6 step 180/348 loss 0.2185
  ep6 step 200/348 loss 0.2218
  ep6 step 220/348 loss 0.2202
  ep6 step 240/348 loss 0.2188
  ep6 step 260/348 loss 0.2172
  ep6 step 280/348 loss 0.2174
  ep6 step 300/348 loss 0.2163
  ep6 step 320/348 loss 0.2155
  ep6 step 340/348 loss 0.2118
[grader] epoch 6/30 loss 0.2115 AUC(ref) 0.9392 QWK 0.7442 acc 0.6219 sens(g>=3) 0.4896
  ep7 step 0/348 loss 0.2123
  ep7 step 20/348 loss 0.1854
  ep7 step 40/348 loss 0.1997
  ep7 step 60/348 loss 0.1903
  ep7 step 80/348 loss 0.1902
  ep7 step 100/348 loss 0.1942
  ep7 step 120/348 loss 0.1904
  ep7 step 140/348 loss 0.1921
  ep7 step 160/348 loss 0.1900
  ep7 step 180/348 loss 0.1938
  ep7 step 200/348 loss 0.1903
  ep7 step 220/348 loss 0.1916
  ep7 step 240/348 loss 0.1900
  ep7 step 260/348 loss 0.1906
  ep7 step 280/348 loss 0.1907
  ep7 step 300/348 loss 0.1908
  ep7 step 320/348 loss 0.1912
  ep7 step 340/348 loss 0.1909
[grader] epoch 7/30 loss 0.1904 AUC(ref) 0.9388 QWK 0.7968 acc 0.6372 sens(g>=3) 0.6390
  ep8 step 0/348 loss 0.2497
  ep8 step 20/348 loss 0.1742
  ep8 step 40/348 loss 0.1696
  ep8 step 60/348 loss 0.1755
  ep8 step 80/348 loss 0.1788
  ep8 step 100/348 loss 0.1808
  ep8 step 120/348 loss 0.1774
  ep8 step 140/348 loss 0.1738
  ep8 step 160/348 loss 0.1703
  ep8 step 180/348 loss 0.1688
  ep8 step 200/348 loss 0.1652
