arm=clinical  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 11.39 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep1 step 0/348 loss 0.6854
  ep1 step 20/348 loss 0.6697
  ep1 step 40/348 loss 0.6604
  ep1 step 60/348 loss 0.6447
  ep1 step 80/348 loss 0.6273
  ep1 step 100/348 loss 0.6102
  ep1 step 120/348 loss 0.5927
  ep1 step 140/348 loss 0.5775
  ep1 step 160/348 loss 0.5630
  ep1 step 180/348 loss 0.5518
  ep1 step 200/348 loss 0.5396
  ep1 step 220/348 loss 0.5281
  ep1 step 240/348 loss 0.5210
  ep1 step 260/348 loss 0.5131
  ep1 step 280/348 loss 0.5052
  ep1 step 300/348 loss 0.4984
  ep1 step 320/348 loss 0.4941
  ep1 step 340/348 loss 0.4879
[grader] epoch 1/30 loss 0.4857 AUC(ref) 0.8531 QWK 0.1907 acc 0.2275 sens(g>=3) 0.0000
  ep2 step 0/348 loss 0.4177
  ep2 step 20/348 loss 0.4106
  ep2 step 40/348 loss 0.4032
  ep2 step 60/348 loss 0.4030
  ep2 step 80/348 loss 0.3963
  ep2 step 100/348 loss 0.3884
  ep2 step 120/348 loss 0.3893
  ep2 step 140/348 loss 0.3898
  ep2 step 160/348 loss 0.3962
  ep2 step 180/348 loss 0.3964
  ep2 step 200/348 loss 0.3941
  ep2 step 220/348 loss 0.3906
  ep2 step 240/348 loss 0.3899
  ep2 step 260/348 loss 0.3883
  ep2 step 280/348 loss 0.3911
  ep2 step 300/348 loss 0.3912
  ep2 step 320/348 loss 0.3921
  ep2 step 340/348 loss 0.3899
[grader] epoch 2/30 loss 0.3887 AUC(ref) 0.8853 QWK 0.5573 acc 0.4217 sens(g>=3) 0.0996
  ep3 step 0/348 loss 0.2753
  ep3 step 20/348 loss 0.3440
  ep3 step 40/348 loss 0.3620
  ep3 step 60/348 loss 0.3575
  ep3 step 80/348 loss 0.3617
  ep3 step 100/348 loss 0.3735
  ep3 step 120/348 loss 0.3692
  ep3 step 140/348 loss 0.3727
  ep3 step 160/348 loss 0.3754
  ep3 step 180/348 loss 0.3811
  ep3 step 200/348 loss 0.3801
  ep3 step 220/348 loss 0.3800
  ep3 step 240/348 loss 0.3778
  ep3 step 260/348 loss 0.3772
  ep3 step 280/348 loss 0.3786
  ep3 step 300/348 loss 0.3785
  ep3 step 320/348 loss 0.3797
  ep3 step 340/348 loss 0.3811
[grader] epoch 3/30 loss 0.3811 AUC(ref) 0.8891 QWK 0.6649 acc 0.5030 sens(g>=3) 0.5602
  ep4 step 0/348 loss 0.4867
  ep4 step 20/348 loss 0.3854
  ep4 step 40/348 loss 0.3936
  ep4 step 60/348 loss 0.3883
  ep4 step 80/348 loss 0.3852
  ep4 step 100/348 loss 0.3842
  ep4 step 120/348 loss 0.3822
  ep4 step 140/348 loss 0.3843
  ep4 step 160/348 loss 0.3820
  ep4 step 180/348 loss 0.3814
  ep4 step 200/348 loss 0.3814
  ep4 step 220/348 loss 0.3811
  ep4 step 240/348 loss 0.3815
  ep4 step 260/348 loss 0.3809
  ep4 step 280/348 loss 0.3829
  ep4 step 300/348 loss 0.3805
  ep4 step 320/348 loss 0.3811
  ep4 step 340/348 loss 0.3819
[grader] epoch 4/30 loss 0.3814 AUC(ref) 0.8903 QWK 0.6914 acc 0.5298 sens(g>=3) 0.6639
  ep5 step 0/348 loss 0.4127
  ep5 step 20/348 loss 0.3646
  ep5 step 40/348 loss 0.3730
  ep5 step 60/348 loss 0.3735
  ep5 step 80/348 loss 0.3746
  ep5 step 100/348 loss 0.3756
  ep5 step 120/348 loss 0.3745
  ep5 step 140/348 loss 0.3752
  ep5 step 160/348 loss 0.3718
  ep5 step 180/348 loss 0.3744
  ep5 step 200/348 loss 0.3753
  ep5 step 220/348 loss 0.3767
  ep5 step 240/348 loss 0.3772
  ep5 step 260/348 loss 0.3776
  ep5 step 280/348 loss 0.3762
  ep5 step 300/348 loss 0.3768
  ep5 step 320/348 loss 0.3750
  ep5 step 340/348 loss 0.3740
[grader] epoch 5/30 loss 0.3737 AUC(ref) 0.8901 QWK 0.6978 acc 0.5398 sens(g>=3) 0.6888
  ep6 step 0/348 loss 0.2901
  ep6 step 20/348 loss 0.3834
  ep6 step 40/348 loss 0.3725
  ep6 step 60/348 loss 0.3751
  ep6 step 80/348 loss 0.3673
  ep6 step 100/348 loss 0.3648
  ep6 step 120/348 loss 0.3665
  ep6 step 140/348 loss 0.3645
  ep6 step 160/348 loss 0.3651
  ep6 step 180/348 loss 0.3625
  ep6 step 200/348 loss 0.3662
  ep6 step 220/348 loss 0.3629
  ep6 step 240/348 loss 0.3625
  ep6 step 260/348 loss 0.3649
  ep6 step 280/348 loss 0.3649
  ep6 step 300/348 loss 0.3658
  ep6 step 320/348 loss 0.3637
  ep6 step 340/348 loss 0.3625
[grader] epoch 6/30 loss 0.3620 AUC(ref) 0.8901 QWK 0.7004 acc 0.5459 sens(g>=3) 0.7178
  ep7 step 0/348 loss 0.4416
  ep7 step 20/348 loss 0.3965
  ep7 step 40/348 loss 0.3954
  ep7 step 60/348 loss 0.3863
  ep7 step 80/348 loss 0.3772
  ep7 step 100/348 loss 0.3760
  ep7 step 120/348 loss 0.3745
  ep7 step 140/348 loss 0.3758
  ep7 step 160/348 loss 0.3703
  ep7 step 180/348 loss 0.3680
  ep7 step 200/348 loss 0.3679
  ep7 step 220/348 loss 0.3678
  ep7 step 240/348 loss 0.3698
  ep7 step 260/348 loss 0.3688
  ep7 step 280/348 loss 0.3666
  ep7 step 300/348 loss 0.3656
