Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
arm=fusion  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.42 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep1 step 0/348 loss 0.6970
  ep1 step 20/348 loss 0.6779
  ep1 step 40/348 loss 0.6688
  ep1 step 60/348 loss 0.6563
  ep1 step 80/348 loss 0.6408
  ep1 step 100/348 loss 0.6239
  ep1 step 120/348 loss 0.6078
  ep1 step 140/348 loss 0.5909
  ep1 step 160/348 loss 0.5776
  ep1 step 180/348 loss 0.5595
  ep1 step 200/348 loss 0.5441
  ep1 step 220/348 loss 0.5314
  ep1 step 240/348 loss 0.5194
  ep1 step 260/348 loss 0.5069
  ep1 step 280/348 loss 0.4965
  ep1 step 300/348 loss 0.4890
  ep1 step 320/348 loss 0.4828
  ep1 step 340/348 loss 0.4738
[grader] epoch 1/30 loss 0.4710 AUC(ref) 0.7959 QWK 0.1126 acc 0.1714 sens(g>=3) 0.0000
  ep2 step 0/348 loss 0.2461
  ep2 step 20/348 loss 0.3495
  ep2 step 40/348 loss 0.3493
  ep2 step 60/348 loss 0.3581
  ep2 step 80/348 loss 0.3485
  ep2 step 100/348 loss 0.3429
  ep2 step 120/348 loss 0.3444
  ep2 step 140/348 loss 0.3446
  ep2 step 160/348 loss 0.3402
  ep2 step 180/348 loss 0.3366
  ep2 step 200/348 loss 0.3316
  ep2 step 220/348 loss 0.3279
  ep2 step 240/348 loss 0.3258
  ep2 step 260/348 loss 0.3261
  ep2 step 280/348 loss 0.3245
  ep2 step 300/348 loss 0.3247
  ep2 step 320/348 loss 0.3221
  ep2 step 340/348 loss 0.3218
[grader] epoch 2/30 loss 0.3228 AUC(ref) 0.9135 QWK 0.3660 acc 0.4493 sens(g>=3) 0.0000
  ep3 step 0/348 loss 0.2254
  ep3 step 20/348 loss 0.2996
  ep3 step 40/348 loss 0.3016
  ep3 step 60/348 loss 0.2970
  ep3 step 80/348 loss 0.2972
  ep3 step 100/348 loss 0.2980
  ep3 step 120/348 loss 0.2954
  ep3 step 140/348 loss 0.2919
  ep3 step 160/348 loss 0.2896
  ep3 step 180/348 loss 0.2907
  ep3 step 200/348 loss 0.2903
  ep3 step 220/348 loss 0.2861
  ep3 step 240/348 loss 0.2845
  ep3 step 260/348 loss 0.2855
  ep3 step 280/348 loss 0.2860
  ep3 step 300/348 loss 0.2858
  ep3 step 320/348 loss 0.2846
  ep3 step 340/348 loss 0.2823
[grader] epoch 3/30 loss 0.2811 AUC(ref) 0.9350 QWK 0.5553 acc 0.5218 sens(g>=3) 0.0871
  ep4 step 0/348 loss 0.2068
  ep4 step 20/348 loss 0.2632
  ep4 step 40/348 loss 0.2549
  ep4 step 60/348 loss 0.2524
  ep4 step 80/348 loss 0.2661
  ep4 step 100/348 loss 0.2621
  ep4 step 120/348 loss 0.2597
  ep4 step 140/348 loss 0.2611
  ep4 step 160/348 loss 0.2574
  ep4 step 180/348 loss 0.2549
  ep4 step 200/348 loss 0.2543
  ep4 step 220/348 loss 0.2517
  ep4 step 240/348 loss 0.2511
  ep4 step 260/348 loss 0.2522
  ep4 step 280/348 loss 0.2515
  ep4 step 300/348 loss 0.2520
  ep4 step 320/348 loss 0.2508
  ep4 step 340/348 loss 0.2502
[grader] epoch 4/30 loss 0.2506 AUC(ref) 0.9473 QWK 0.7086 acc 0.5839 sens(g>=3) 0.4108
  ep5 step 0/348 loss 0.2781
  ep5 step 20/348 loss 0.2090
  ep5 step 40/348 loss 0.2192
  ep5 step 60/348 loss 0.2200
  ep5 step 80/348 loss 0.2162
  ep5 step 100/348 loss 0.2198
  ep5 step 120/348 loss 0.2229
  ep5 step 140/348 loss 0.2229
  ep5 step 160/348 loss 0.2211
  ep5 step 180/348 loss 0.2208
  ep5 step 200/348 loss 0.2213
  ep5 step 220/348 loss 0.2209
  ep5 step 240/348 loss 0.2214
  ep5 step 260/348 loss 0.2224
  ep5 step 280/348 loss 0.2223
  ep5 step 300/348 loss 0.2231
  ep5 step 320/348 loss 0.2218
  ep5 step 340/348 loss 0.2214
[grader] epoch 5/30 loss 0.2219 AUC(ref) 0.9517 QWK 0.7783 acc 0.6380 sens(g>=3) 0.5975
  ep6 step 0/348 loss 0.1749
  ep6 step 20/348 loss 0.2012
  ep6 step 40/348 loss 0.2028
  ep6 step 60/348 loss 0.1938
  ep6 step 80/348 loss 0.1978
  ep6 step 100/348 loss 0.2033
  ep6 step 120/348 loss 0.2038
  ep6 step 140/348 loss 0.2000
  ep6 step 160/348 loss 0.1968
  ep6 step 180/348 loss 0.2005
  ep6 step 200/348 loss 0.2008
  ep6 step 220/348 loss 0.1999
  ep6 step 240/348 loss 0.2007
  ep6 step 260/348 loss 0.2018
  ep6 step 280/348 loss 0.2011
  ep6 step 300/348 loss 0.2015
  ep6 step 320/348 loss 0.1992
  ep6 step 340/348 loss 0.1985
[grader] epoch 6/30 loss 0.1985 AUC(ref) 0.9532 QWK 0.8156 acc 0.6844 sens(g>=3) 0.7012
  ep7 step 0/348 loss 0.1398
  ep7 step 20/348 loss 0.1687
  ep7 step 40/348 loss 0.1862
  ep7 step 60/348 loss 0.1750
  ep7 step 80/348 loss 0.1764
  ep7 step 100/348 loss 0.1744
  ep7 step 120/348 loss 0.1785
  ep7 step 140/348 loss 0.1792
  ep7 step 160/348 loss 0.1792
  ep7 step 180/348 loss 0.1790
  ep7 step 200/348 loss 0.1769
  ep7 step 220/348 loss 0.1768
  ep7 step 240/348 loss 0.1756
  ep7 step 260/348 loss 0.1750
  ep7 step 280/348 loss 0.1740
  ep7 step 300/348 loss 0.1733
  ep7 step 320/348 loss 0.1726
  ep7 step 340/348 loss 0.1704
[grader] epoch 7/30 loss 0.1701 AUC(ref) 0.9539 QWK 0.8334 acc 0.7101 sens(g>=3) 0.7635
  ep8 step 0/348 loss 0.0833
  ep8 step 20/348 loss 0.1385
  ep8 step 40/348 loss 0.1513
  ep8 step 60/348 loss 0.1517
  ep8 step 80/348 loss 0.1506
  ep8 step 100/348 loss 0.1502
  ep8 step 120/348 loss 0.1475
  ep8 step 140/348 loss 0.1470
  ep8 step 160/348 loss 0.1473
  ep8 step 180/348 loss 0.1491
  ep8 step 200/348 loss 0.1492
