Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
arm=fusion  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.42 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep1 step 0/348 loss 0.6484
  ep1 step 20/348 loss 0.6725
  ep1 step 40/348 loss 0.6650
  ep1 step 60/348 loss 0.6479
  ep1 step 80/348 loss 0.6297
  ep1 step 100/348 loss 0.6128
  ep1 step 120/348 loss 0.5978
  ep1 step 140/348 loss 0.5852
  ep1 step 160/348 loss 0.5744
  ep1 step 180/348 loss 0.5612
  ep1 step 200/348 loss 0.5477
  ep1 step 220/348 loss 0.5374
  ep1 step 240/348 loss 0.5292
  ep1 step 260/348 loss 0.5212
  ep1 step 280/348 loss 0.5122
  ep1 step 300/348 loss 0.5044
  ep1 step 320/348 loss 0.4966
  ep1 step 340/348 loss 0.4894
[grader] epoch 1/30 loss 0.4877 AUC(ref) 0.7881 QWK 0.1621 acc 0.4517 sens(g>=3) 0.0000
  ep2 step 0/348 loss 0.4074
  ep2 step 20/348 loss 0.3725
  ep2 step 40/348 loss 0.3793
  ep2 step 60/348 loss 0.3739
  ep2 step 80/348 loss 0.3742
  ep2 step 100/348 loss 0.3680
  ep2 step 120/348 loss 0.3728
  ep2 step 140/348 loss 0.3666
  ep2 step 160/348 loss 0.3664
  ep2 step 180/348 loss 0.3669
  ep2 step 200/348 loss 0.3674
  ep2 step 220/348 loss 0.3677
  ep2 step 240/348 loss 0.3678
  ep2 step 260/348 loss 0.3663
  ep2 step 280/348 loss 0.3669
  ep2 step 300/348 loss 0.3644
  ep2 step 320/348 loss 0.3635
  ep2 step 340/348 loss 0.3614
[grader] epoch 2/30 loss 0.3612 AUC(ref) 0.8772 QWK 0.2366 acc 0.5050 sens(g>=3) 0.0000
  ep3 step 0/348 loss 0.2359
  ep3 step 20/348 loss 0.3348
  ep3 step 40/348 loss 0.3250
  ep3 step 60/348 loss 0.3286
  ep3 step 80/348 loss 0.3299
  ep3 step 100/348 loss 0.3215
  ep3 step 120/348 loss 0.3228
  ep3 step 140/348 loss 0.3213
  ep3 step 160/348 loss 0.3230
  ep3 step 180/348 loss 0.3185
  ep3 step 200/348 loss 0.3157
  ep3 step 220/348 loss 0.3147
  ep3 step 240/348 loss 0.3141
  ep3 step 260/348 loss 0.3125
  ep3 step 280/348 loss 0.3119
  ep3 step 300/348 loss 0.3103
  ep3 step 320/348 loss 0.3075
  ep3 step 340/348 loss 0.3065
[grader] epoch 3/30 loss 0.3062 AUC(ref) 0.9196 QWK 0.4696 acc 0.5451 sens(g>=3) 0.0581
  ep4 step 0/348 loss 0.2378
  ep4 step 20/348 loss 0.2973
  ep4 step 40/348 loss 0.2856
  ep4 step 60/348 loss 0.2803
  ep4 step 80/348 loss 0.2786
  ep4 step 100/348 loss 0.2798
  ep4 step 120/348 loss 0.2802
  ep4 step 140/348 loss 0.2822
  ep4 step 160/348 loss 0.2836
  ep4 step 180/348 loss 0.2816
  ep4 step 200/348 loss 0.2811
  ep4 step 220/348 loss 0.2819
  ep4 step 240/348 loss 0.2806
  ep4 step 260/348 loss 0.2768
  ep4 step 280/348 loss 0.2745
  ep4 step 300/348 loss 0.2728
  ep4 step 320/348 loss 0.2694
  ep4 step 340/348 loss 0.2682
[grader] epoch 4/30 loss 0.2672 AUC(ref) 0.9408 QWK 0.6582 acc 0.6167 sens(g>=3) 0.3361
  ep5 step 0/348 loss 0.3471
  ep5 step 20/348 loss 0.2684
  ep5 step 40/348 loss 0.2654
  ep5 step 60/348 loss 0.2613
  ep5 step 80/348 loss 0.2542
  ep5 step 100/348 loss 0.2512
  ep5 step 120/348 loss 0.2483
  ep5 step 140/348 loss 0.2466
  ep5 step 160/348 loss 0.2473
  ep5 step 180/348 loss 0.2454
  ep5 step 200/348 loss 0.2415
  ep5 step 220/348 loss 0.2375
  ep5 step 240/348 loss 0.2371
  ep5 step 260/348 loss 0.2369
  ep5 step 280/348 loss 0.2377
  ep5 step 300/348 loss 0.2365
  ep5 step 320/348 loss 0.2357
  ep5 step 340/348 loss 0.2339
[grader] epoch 5/30 loss 0.2331 AUC(ref) 0.9511 QWK 0.7426 acc 0.6664 sens(g>=3) 0.5187
  ep6 step 0/348 loss 0.1202
  ep6 step 20/348 loss 0.2229
  ep6 step 40/348 loss 0.2295
  ep6 step 60/348 loss 0.2416
  ep6 step 80/348 loss 0.2361
  ep6 step 100/348 loss 0.2314
  ep6 step 120/348 loss 0.2293
  ep6 step 140/348 loss 0.2298
  ep6 step 160/348 loss 0.2273
  ep6 step 180/348 loss 0.2267
  ep6 step 200/348 loss 0.2231
  ep6 step 220/348 loss 0.2216
  ep6 step 240/348 loss 0.2205
  ep6 step 260/348 loss 0.2199
  ep6 step 280/348 loss 0.2186
  ep6 step 300/348 loss 0.2173
  ep6 step 320/348 loss 0.2148
  ep6 step 340/348 loss 0.2132
[grader] epoch 6/30 loss 0.2130 AUC(ref) 0.9557 QWK 0.7969 acc 0.7085 sens(g>=3) 0.6307
  ep7 step 0/348 loss 0.0651
  ep7 step 20/348 loss 0.1976
  ep7 step 40/348 loss 0.1964
  ep7 step 60/348 loss 0.2050
  ep7 step 80/348 loss 0.2037
  ep7 step 100/348 loss 0.2007
  ep7 step 120/348 loss 0.2029
  ep7 step 140/348 loss 0.2011
  ep7 step 160/348 loss 0.2011
  ep7 step 180/348 loss 0.2017
  ep7 step 200/348 loss 0.1992
  ep7 step 220/348 loss 0.1990
  ep7 step 240/348 loss 0.1975
  ep7 step 260/348 loss 0.1964
  ep7 step 280/348 loss 0.1942
  ep7 step 300/348 loss 0.1931
  ep7 step 320/348 loss 0.1935
  ep7 step 340/348 loss 0.1929
[grader] epoch 7/30 loss 0.1920 AUC(ref) 0.9569 QWK 0.8260 acc 0.7353 sens(g>=3) 0.7095
  ep8 step 0/348 loss 0.2204
  ep8 step 20/348 loss 0.1600
  ep8 step 40/348 loss 0.1677
  ep8 step 60/348 loss 0.1751
  ep8 step 80/348 loss 0.1784
  ep8 step 100/348 loss 0.1810
  ep8 step 120/348 loss 0.1781
  ep8 step 140/348 loss 0.1731
  ep8 step 160/348 loss 0.1722
  ep8 step 180/348 loss 0.1714
  ep8 step 200/348 loss 0.1693
