arm=cnn  train 5941  val 1860  classes 5
grade distribution (train): [1840, 926, 1840, 415, 920]
parameters: 4.34 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:25.7%  1:18.2%  2:25.7%  3:12.2%  4:18.2%
  ep1 step 0/371 loss 0.7096
  ep1 step 20/371 loss 0.6969
  ep1 step 40/371 loss 0.6910
  ep1 step 60/371 loss 0.6812
  ep1 step 80/371 loss 0.6688
  ep1 step 100/371 loss 0.6533
  ep1 step 120/371 loss 0.6375
  ep1 step 140/371 loss 0.6253
  ep1 step 160/371 loss 0.6088
  ep1 step 180/371 loss 0.5959
  ep1 step 200/371 loss 0.5822
  ep1 step 220/371 loss 0.5694
  ep1 step 240/371 loss 0.5576
  ep1 step 260/371 loss 0.5453
  ep1 step 280/371 loss 0.5378
  ep1 step 300/371 loss 0.5277
  ep1 step 320/371 loss 0.5206
  ep1 step 340/371 loss 0.5140
  ep1 step 360/371 loss 0.5092
[grader] epoch 1/30 loss 0.5055 AUC(ref) 0.7653 QWK 0.0362 acc 0.1409 sens(g>=3) 0.0000
  ep2 step 0/371 loss 0.2554
  ep2 step 20/371 loss 0.3726
  ep2 step 40/371 loss 0.4089
  ep2 step 60/371 loss 0.3989
  ep2 step 80/371 loss 0.3971
  ep2 step 100/371 loss 0.3971
  ep2 step 120/371 loss 0.3946
  ep2 step 140/371 loss 0.3914
  ep2 step 160/371 loss 0.3881
  ep2 step 180/371 loss 0.3821
  ep2 step 200/371 loss 0.3846
  ep2 step 220/371 loss 0.3829
  ep2 step 240/371 loss 0.3784
  ep2 step 260/371 loss 0.3772
  ep2 step 280/371 loss 0.3754
  ep2 step 300/371 loss 0.3732
  ep2 step 320/371 loss 0.3719
  ep2 step 340/371 loss 0.3724
  ep2 step 360/371 loss 0.3705
[grader] epoch 2/30 loss 0.3683 AUC(ref) 0.8290 QWK 0.2780 acc 0.4398 sens(g>=3) 0.0000
  ep3 step 0/371 loss 0.3614
  ep3 step 20/371 loss 0.3423
  ep3 step 40/371 loss 0.3306
  ep3 step 60/371 loss 0.3398
  ep3 step 80/371 loss 0.3366
  ep3 step 100/371 loss 0.3298
  ep3 step 120/371 loss 0.3273
  ep3 step 140/371 loss 0.3268
  ep3 step 160/371 loss 0.3270
  ep3 step 180/371 loss 0.3208
  ep3 step 200/371 loss 0.3184
  ep3 step 220/371 loss 0.3154
  ep3 step 240/371 loss 0.3140
  ep3 step 260/371 loss 0.3097
  ep3 step 280/371 loss 0.3083
  ep3 step 300/371 loss 0.3072
  ep3 step 320/371 loss 0.3068
  ep3 step 340/371 loss 0.3061
  ep3 step 360/371 loss 0.3038
[grader] epoch 3/30 loss 0.3033 AUC(ref) 0.8714 QWK 0.3283 acc 0.4677 sens(g>=3) 0.0075
  ep4 step 0/371 loss 0.1902
  ep4 step 20/371 loss 0.2533
  ep4 step 40/371 loss 0.2594
  ep4 step 60/371 loss 0.2709
  ep4 step 80/371 loss 0.2774
  ep4 step 100/371 loss 0.2779
  ep4 step 120/371 loss 0.2774
  ep4 step 140/371 loss 0.2787
  ep4 step 160/371 loss 0.2825
  ep4 step 180/371 loss 0.2830
  ep4 step 200/371 loss 0.2791
  ep4 step 220/371 loss 0.2760
  ep4 step 240/371 loss 0.2777
  ep4 step 260/371 loss 0.2780
  ep4 step 280/371 loss 0.2773
  ep4 step 300/371 loss 0.2774
  ep4 step 320/371 loss 0.2763
  ep4 step 340/371 loss 0.2754
  ep4 step 360/371 loss 0.2758
[grader] epoch 4/30 loss 0.2757 AUC(ref) 0.9093 QWK 0.4997 acc 0.5140 sens(g>=3) 0.2164
  ep5 step 0/371 loss 0.1670
  ep5 step 20/371 loss 0.2458
  ep5 step 40/371 loss 0.2570
  ep5 step 60/371 loss 0.2448
  ep5 step 80/371 loss 0.2464
  ep5 step 100/371 loss 0.2472
  ep5 step 120/371 loss 0.2477
  ep5 step 140/371 loss 0.2421
  ep5 step 160/371 loss 0.2412
  ep5 step 180/371 loss 0.2404
  ep5 step 200/371 loss 0.2395
  ep5 step 220/371 loss 0.2413
  ep5 step 240/371 loss 0.2413
  ep5 step 260/371 loss 0.2395
  ep5 step 280/371 loss 0.2389
  ep5 step 300/371 loss 0.2370
  ep5 step 320/371 loss 0.2361
  ep5 step 340/371 loss 0.2360
  ep5 step 360/371 loss 0.2375
[grader] epoch 5/30 loss 0.2367 AUC(ref) 0.9278 QWK 0.6718 acc 0.5753 sens(g>=3) 0.4366
  ep6 step 0/371 loss 0.2096
  ep6 step 20/371 loss 0.2130
  ep6 step 40/371 loss 0.2338
  ep6 step 60/371 loss 0.2377
  ep6 step 80/371 loss 0.2367
  ep6 step 100/371 loss 0.2406
  ep6 step 120/371 loss 0.2407
  ep6 step 140/371 loss 0.2387
  ep6 step 160/371 loss 0.2393
  ep6 step 180/371 loss 0.2384
  ep6 step 200/371 loss 0.2379
  ep6 step 220/371 loss 0.2354
  ep6 step 240/371 loss 0.2349
  ep6 step 260/371 loss 0.2352
  ep6 step 280/371 loss 0.2331
  ep6 step 300/371 loss 0.2320
  ep6 step 320/371 loss 0.2327
  ep6 step 340/371 loss 0.2305
  ep6 step 360/371 loss 0.2282
[grader] epoch 6/30 loss 0.2269 AUC(ref) 0.9376 QWK 0.7457 acc 0.6290 sens(g>=3) 0.5224
  ep7 step 0/371 loss 0.2507
  ep7 step 20/371 loss 0.2377
  ep7 step 40/371 loss 0.2281
  ep7 step 60/371 loss 0.2260
  ep7 step 80/371 loss 0.2123
  ep7 step 100/371 loss 0.2067
  ep7 step 120/371 loss 0.2071
  ep7 step 140/371 loss 0.2095
  ep7 step 160/371 loss 0.2087
  ep7 step 180/371 loss 0.2072
  ep7 step 200/371 loss 0.2072
  ep7 step 220/371 loss 0.2056
  ep7 step 240/371 loss 0.2052
  ep7 step 260/371 loss 0.2073
  ep7 step 280/371 loss 0.2065
  ep7 step 300/371 loss 0.2059
  ep7 step 320/371 loss 0.2040
  ep7 step 340/371 loss 0.2029
  ep7 step 360/371 loss 0.2021
[grader] epoch 7/30 loss 0.2018 AUC(ref) 0.9444 QWK 0.7842 acc 0.6640 sens(g>=3) 0.5858
  ep8 step 0/371 loss 0.1296
  ep8 step 20/371 loss 0.1968
  ep8 step 40/371 loss 0.1822
  ep8 step 60/371 loss 0.1853
  ep8 step 80/371 loss 0.1828
  ep8 step 100/371 loss 0.1736
  ep8 step 120/371 loss 0.1730
  ep8 step 140/371 loss 0.1723
  ep8 step 160/371 loss 0.1758
  ep8 step 180/371 loss 0.1732
  ep8 step 200/371 loss 0.1747
  ep8 step 220/371 loss 0.1744
  ep8 step 240/371 loss 0.1744
  ep8 step 260/371 loss 0.1740
  ep8 step 280/371 loss 0.1722
  ep8 step 300/371 loss 0.1719
  ep8 step 320/371 loss 0.1723
  ep8 step 340/371 loss 0.1710
  ep8 step 360/371 loss 0.1718
[grader] epoch 8/30 loss 0.1723 AUC(ref) 0.9465 QWK 0.8108 acc 0.6957 sens(g>=3) 0.6418
  ep9 step 0/371 loss 0.1006
  ep9 step 20/371 loss 0.1592
  ep9 step 40/371 loss 0.1519
  ep9 step 60/371 loss 0.1550
  ep9 step 80/371 loss 0.1589
  ep9 step 100/371 loss 0.1617
  ep9 step 120/371 loss 0.1631
  ep9 step 140/371 loss 0.1619
  ep9 step 160/371 loss 0.1664
  ep9 step 180/371 loss 0.1645
  ep9 step 200/371 loss 0.1638
  ep9 step 220/371 loss 0.1622
  ep9 step 240/371 loss 0.1661
  ep9 step 260/371 loss 0.1657
  ep9 step 280/371 loss 0.1654
  ep9 step 300/371 loss 0.1665
  ep9 step 320/371 loss 0.1655
  ep9 step 340/371 loss 0.1660
  ep9 step 360/371 loss 0.1647
[grader] epoch 9/30 loss 0.1642 AUC(ref) 0.9481 QWK 0.8356 acc 0.7215 sens(g>=3) 0.6978
  ep10 step 0/371 loss 0.1807
  ep10 step 20/371 loss 0.1555
  ep10 step 40/371 loss 0.1666
  ep10 step 60/371 loss 0.1623
  ep10 step 80/371 loss 0.1595
  ep10 step 100/371 loss 0.1594
  ep10 step 120/371 loss 0.1573
  ep10 step 140/371 loss 0.1611
  ep10 step 160/371 loss 0.1640
  ep10 step 180/371 loss 0.1618
  ep10 step 200/371 loss 0.1603
  ep10 step 220/371 loss 0.1583
  ep10 step 240/371 loss 0.1566
  ep10 step 260/371 loss 0.1540
  ep10 step 280/371 loss 0.1531
  ep10 step 300/371 loss 0.1528
  ep10 step 320/371 loss 0.1509
  ep10 step 340/371 loss 0.1499
  ep10 step 360/371 loss 0.1497
[grader] epoch 10/30 loss 0.1500 AUC(ref) 0.9493 QWK 0.8481 acc 0.7323 sens(g>=3) 0.7425
  ep11 step 0/371 loss 0.2101
  ep11 step 20/371 loss 0.1149
  ep11 step 40/371 loss 0.1085
  ep11 step 60/371 loss 0.1170
  ep11 step 80/371 loss 0.1252
  ep11 step 100/371 loss 0.1235
  ep11 step 120/371 loss 0.1290
  ep11 step 140/371 loss 0.1291
  ep11 step 160/371 loss 0.1288
  ep11 step 180/371 loss 0.1279
  ep11 step 200/371 loss 0.1290
  ep11 step 220/371 loss 0.1276
  ep11 step 240/371 loss 0.1268
  ep11 step 260/371 loss 0.1294
  ep11 step 280/371 loss 0.1305
  ep11 step 300/371 loss 0.1297
  ep11 step 320/371 loss 0.1287
  ep11 step 340/371 loss 0.1280
  ep11 step 360/371 loss 0.1272
[grader] epoch 11/30 loss 0.1276 AUC(ref) 0.9508 QWK 0.8527 acc 0.7392 sens(g>=3) 0.7500
  ep12 step 0/371 loss 0.1516
  ep12 step 20/371 loss 0.1249
  ep12 step 40/371 loss 0.1281
  ep12 step 60/371 loss 0.1276
  ep12 step 80/371 loss 0.1270
  ep12 step 100/371 loss 0.1340
  ep12 step 120/371 loss 0.1340
  ep12 step 140/371 loss 0.1311
  ep12 step 160/371 loss 0.1306
  ep12 step 180/371 loss 0.1273
  ep12 step 200/371 loss 0.1256
  ep12 step 220/371 loss 0.1242
  ep12 step 240/371 loss 0.1230
  ep12 step 260/371 loss 0.1209
  ep12 step 280/371 loss 0.1205
  ep12 step 300/371 loss 0.1202
  ep12 step 320/371 loss 0.1204
  ep12 step 340/371 loss 0.1191
  ep12 step 360/371 loss 0.1195
[grader] epoch 12/30 loss 0.1196 AUC(ref) 0.9525 QWK 0.8545 acc 0.7398 sens(g>=3) 0.7612
  ep13 step 0/371 loss 0.1469
  ep13 step 20/371 loss 0.0979
  ep13 step 40/371 loss 0.1014
  ep13 step 60/371 loss 0.1187
  ep13 step 80/371 loss 0.1113
  ep13 step 100/371 loss 0.1096
  ep13 step 120/371 loss 0.1111
  ep13 step 140/371 loss 0.1121
  ep13 step 160/371 loss 0.1121
  ep13 step 180/371 loss 0.1146
  ep13 step 200/371 loss 0.1134
  ep13 step 220/371 loss 0.1145
  ep13 step 240/371 loss 0.1131
  ep13 step 260/371 loss 0.1139
  ep13 step 280/371 loss 0.1130
  ep13 step 300/371 loss 0.1140
  ep13 step 320/371 loss 0.1139
  ep13 step 340/371 loss 0.1139
  ep13 step 360/371 loss 0.1134
[grader] epoch 13/30 loss 0.1124 AUC(ref) 0.9528 QWK 0.8566 acc 0.7452 sens(g>=3) 0.7724
  ep14 step 0/371 loss 0.1463
  ep14 step 20/371 loss 0.1366
  ep14 step 40/371 loss 0.1254
  ep14 step 60/371 loss 0.1228
  ep14 step 80/371 loss 0.1152
  ep14 step 100/371 loss 0.1142
  ep14 step 120/371 loss 0.1082
  ep14 step 140/371 loss 0.1047
  ep14 step 160/371 loss 0.1052
  ep14 step 180/371 loss 0.1012
  ep14 step 200/371 loss 0.1005
  ep14 step 220/371 loss 0.0985
  ep14 step 240/371 loss 0.0965
  ep14 step 260/371 loss 0.0965
  ep14 step 280/371 loss 0.0955
  ep14 step 300/371 loss 0.0967
  ep14 step 320/371 loss 0.0973
  ep14 step 340/371 loss 0.0971
  ep14 step 360/371 loss 0.0976
[grader] epoch 14/30 loss 0.0972 AUC(ref) 0.9531 QWK 0.8589 acc 0.7489 sens(g>=3) 0.7873
